,令和７年５月１日現在,,,設置者別、学校別、学科別　公立高等学校（全日制）の生徒数・学級数（学校一覧）
,学校コード,設置者,所在市区町村,学校名,（学科）,生徒数,,,,,,,,,,学級数,,,
,,,,,,合計,,,１学年,,２学年,,３学年,,,合計,１学年,２学年,３学年
,,,,,,男女,男,女,男,女,男,女,男,女,,,,,
,D114210010384,神奈川県,110横浜市戸塚区,横浜桜陽,（普通）,741,291,450,103,165,94,139,94,146,,23,8,7,8
,D114210010393,神奈川県,110横浜市戸塚区,上矢部,（普通）,736,356,380,118,133,115,136,123,111,,21,7,7,7
,D114210010393,神奈川県,110横浜市戸塚区,上矢部,（美術）,114,12,102,2,37,2,37,8,28,,3,1,1,1
,D114210010124,神奈川県,111横浜市港南区,横浜南陵,（普通）,757,463,294,154,100,151,92,158,102,,21,7,7,7
,D114210010142,神奈川県,111横浜市港南区,永谷,（普通）,182,93,89,0,0,50,49,43,40,,10,0,5,5
,D114210010188,神奈川県,112横浜市旭区,希望ケ丘,（普通）,1060,542,518,184,175,181,172,177,171,,27,9,9,9
,D114210010197,神奈川県,112横浜市旭区,二俣川,（普通）,119,24,95,24,95,0,0,0,0,,3,3,0,0
,D114210010197,神奈川県,112横浜市旭区,二俣川,（看護）,139,17,122,0,0,8,61,9,61,,4,0,2,2
,D114210010197,神奈川県,112横浜市旭区,二俣川,（福祉）,112,33,79,9,28,15,32,9,19,,5,1,2,2
,D114210010204,神奈川県,112横浜市旭区,旭,（普通）,975,555,420,185,133,179,135,191,152,,25,8,8,9
,D114210010213,神奈川県,112横浜市旭区,横浜旭陵,（普通）,362,187,175,0,0,94,89,93,86,,15,0,7,8
,D114210010295,神奈川県,113横浜市緑区,霧が丘,（普通）,973,509,464,169,160,163,157,177,147,,27,9,9,9
,D114210010302,神奈川県,113横浜市緑区,白山,（普通）,762,386,376,127,123,126,112,133,141,,22,7,7,8
,D114210010302,神奈川県,113横浜市緑区,白山,（美術）,113,11,102,1,38,6,33,4,31,,3,1,1,1
,D114210010482,神奈川県,114横浜市瀬谷区,横浜瀬谷,（普通）,938,541,397,180,138,168,145,193,114,,24,8,8,8
,D114210010400,神奈川県,115横浜市栄区,柏陽,（普通）,948,562,386,195,126,193,121,174,139,,24,8,8,8
,D114210010419,神奈川県,115横浜市栄区,金井,（普通）,975,547,428,196,162,173,137,178,129,,25,9,8,8
,D114210010428,神奈川県,115横浜市栄区,横浜栄,（普通）,937,517,420,163,156,171,142,183,122,,25,9,8,8
,D114210010437,神奈川県,116横浜市泉区,松陽,（普通）,913,433,480,117,162,142,177,174,141,,23,7,8,8
,D114210010446,神奈川県,116横浜市泉区,横浜緑園,（普通）,814,232,582,89,190,72,201,71,191,,24,8,8,8
,D114210010311,神奈川県,117横浜市青葉区,市ケ尾,（普通）,1182,622,560,210,190,201,191,211,179,,30,10,10,10
,D114210010320,神奈川県,117横浜市青葉区,田奈,（普通）,217,110,107,56,49,34,35,20,23,,12,5,4,3
,D114210010339,神奈川県,117横浜市青葉区,元石川,（普通）,1065,511,554,156,203,177,178,178,173,,27,9,9,9
,D114210010348,神奈川県,118横浜市都筑区,川和,（普通）,992,472,520,158,162,150,167,164,191,,25,8,8,9
,D114210010357,神奈川県,118横浜市都筑区,荏田,（普通）,1180,643,537,205,193,231,167,207,177,,30,10,10,10
,D114210010366,神奈川県,118横浜市都筑区,新栄,（普通）,1042,588,454,195,165,201,156,192,133,,27,9,9,9
,D114213010011,神奈川県,131川崎市川崎区,川崎,（普通）,703,263,440,76,158,90,146,97,136,,25,8,8,9
,D114213010020,神奈川県,131川崎市川崎区,大師,（普通）,582,296,286,108,109,95,91,93,86,,19,7,6,6
,D114213010039,神奈川県,133川崎市中原区,川崎工科,（工業）,501,464,37,173,13,152,12,139,12,,20,8,6,6
,D114213010048,神奈川県,133川崎市中原区,新城,（普通）,826,376,450,126,153,132,144,118,153,,21,7,7,7
,D114213010057,神奈川県,133川崎市中原区,住吉,（普通）,1056,513,543,176,184,159,196,178,163,,27,9,9,9
,D114213010075,神奈川県,135川崎市多摩区,多摩,（普通）,831,488,343,169,109,154,120,165,114,,21,7,7,7
,D114213010084,神奈川県,135川崎市多摩区,向の岡工業,（工業）,532,495,37,196,12,166,17,133,8,,21,9,6,6
