school_code,school_name,municipality,lat,lon,primary_station,primary_distance_m,primary_lines,source,access_stations,access_lines
405260,青井,足立区,35.773151,139.812363,青井,723,首都圏新都市鉄道 常磐新線,算出,青井(723m);五反野(843m);梅島(1292m);六町(1548m);小菅(1609m);綾瀬(1661m);北綾瀬(1828m),首都圏新都市鉄道 常磐新線;東武鉄道 伊勢崎線;東京地下鉄 9号線千代田線;東日本旅客鉄道 常磐線
405270,足立新田,足立区,35.770275,139.742249,王子神谷,826,東京地下鉄 7号線南北線,算出,王子神谷(826m);志茂(1231m);東十条(1572m);王子(1923m);王子駅前(1984m),東京地下鉄 7号線南北線;東日本旅客鉄道 東北線;東京都 荒川線
405410,晴海総合,中央区,35.661182,139.786575,月島,397,東京地下鉄 8号線有楽町線;東京都 12号線大江戸線,算出,月島(397m);勝どき(889m);越中島(928m);豊洲(1118m);新豊洲(1423m);築地(1476m);門前仲町(1484m);新富町(1550m);市場前(1725m);八丁堀(1735m);築地市場(1840m);東銀座(1972m),東京地下鉄 8号線有楽町線;東京都 12号線大江戸線;東日本旅客鉄道 京葉線;ゆりかもめ 東京臨海新交通臨海線;東京地下鉄 2号線日比谷線;東京地下鉄 5号線東西線;東京都 1号線浅草線
405420,小台橋,足立区,35.756416,139.761551,小台,659,東京都 荒川線,算出,小台(659m);荒川遊園地前(740m);足立小台(806m);宮ノ前(820m);荒川車庫前(1002m);熊野前(1123m);扇大橋(1200m);尾久(1275m);梶原(1417m);高野(1555m);東尾久三丁目(1631m);赤土小学校前(1635m);上中里(1738m);栄町(1851m);町屋二丁目(1932m),東京都 荒川線;東京都 日暮里・舎人ライナー;東日本旅客鉄道 東北線
405520,浅草,台東区,35.719707,139.803101,浅草,1105,首都圏新都市鉄道 常磐新線;東京地下鉄 3号線銀座線;東京都 1号線浅草線;東武鉄道 伊勢崎線,算出,浅草(1105m);とうきょうスカイツリー(1174m);本所吾妻橋(1242m);曳舟(1394m);押上(1452m);三ノ輪(1515m);南千住(1554m);東向島(1554m);田原町(1585m);入谷(1678m);三ノ輪橋(1741m);蔵前(1989m),首都圏新都市鉄道 常磐新線;東京地下鉄 3号線銀座線;東京都 1号線浅草線;東武鉄道 伊勢崎線;京成電鉄 押上線;東武鉄道 亀戸線;東京地下鉄 11号線半蔵門線;東京地下鉄 2号線日比谷線;東日本旅客鉄道 常磐線;東京都 荒川線;東京都 12号線大江戸線
405710,蔵前工科,台東区,35.699936,139.790985,蔵前,501,東京都 1号線浅草線;東京都 12号線大江戸線,算出,蔵前(501m);浅草橋(567m);両国(568m);馬喰町(1068m);東日本橋(1073m);田原町(1110m);新御徒町(1118m);馬喰横山(1142m);浜町(1288m);浅草(1417m);森下(1472m);岩本町(1498m);稲荷町(1505m);小伝馬町(1530m);仲御徒町(1531m);秋葉原(1541m);本所吾妻橋(1552m);御徒町(1676m);人形町(1721m);末広町(1765m);上野広小路(1837m);上野御徒町(1860m);菊川(1873m);新日本橋(1946m);水天宮前(1951m);上野(1979m);神田(1999m),東京都 1号線浅草線;東京都 12号線大江戸線;東日本旅客鉄道 総武線;東京地下鉄 3号線銀座線;首都圏新都市鉄道 常磐新線;東京都 10号線新宿線;東武鉄道 伊勢崎線;東京地下鉄 2号線日比谷線;東日本旅客鉄道 東北線;東京地下鉄 11号線半蔵門線;京成電鉄 本線;東日本旅客鉄道 東北新幹線;東日本旅客鉄道 中央線
405720,荒川工科,荒川区,35.737709,139.792252,荒川一中前,545,東京都 荒川線,算出,荒川一中前(545m);三ノ輪橋(614m);荒川区役所前(621m);千住大橋(679m);荒川二丁目(690m);南千住(794m);荒川七丁目(881m);三ノ輪(942m);町屋(1147m);町屋駅前(1179m);三河島(1435m);町屋二丁目(1586m);新三河島(1633m);北千住(1748m);東尾久三丁目(1883m);京成関屋(1901m);牛田(1919m),東京都 荒川線;京成電鉄 本線;首都圏新都市鉄道 常磐新線;東京地下鉄 2号線日比谷線;東日本旅客鉄道 常磐線;東京地下鉄 9号線千代田線;東武鉄道 伊勢崎線
405730,足立工科,足立区,35.788048,139.777695,谷在家,689,東京都 日暮里・舎人ライナー,算出,谷在家(689m);西新井大師西(1025m);大師前(1073m);舎人公園(1177m);竹ノ塚(1369m);西新井(1655m);江北(1719m),東京都 日暮里・舎人ライナー;東武鉄道 大師線;東武鉄道 伊勢崎線
406010,両国,墨田区,35.695141,139.80986,錦糸町,501,東京地下鉄 11号線半蔵門線;東日本旅客鉄道 総武線,算出,錦糸町(501m);菊川(822m);住吉(886m);両国(1313m);森下(1326m);亀戸(1550m);本所吾妻橋(1573m);押上(1617m);西大島(1618m);清澄白河(1698m);とうきょうスカイツリー(1704m);蔵前(1938m),東京地下鉄 11号線半蔵門線;東日本旅客鉄道 総武線;東京都 10号線新宿線;東京都 12号線大江戸線;東武鉄道 亀戸線;東京都 1号線浅草線;京成電鉄 押上線;東武鉄道 伊勢崎線
406020,墨田川,墨田区,35.722229,139.816376,東向島,357,東武鉄道 伊勢崎線,算出,東向島(357m);曳舟(448m);八広(1211m);鐘ヶ淵(1332m);押上(1452m);とうきょうスカイツリー(1452m);小村井(1668m);本所吾妻橋(1858m);四ツ木(1958m);南千住(1982m),東武鉄道 伊勢崎線;京成電鉄 押上線;東武鉄道 亀戸線;東京地下鉄 11号線半蔵門線;東京都 1号線浅草線;首都圏新都市鉄道 常磐新線;東京地下鉄 2号線日比谷線;東日本旅客鉄道 常磐線
406030,本所,墨田区,35.713657,139.810959,とうきょうスカイツリー,382,東武鉄道 伊勢崎線,算出,とうきょうスカイツリー(382m);押上(504m);本所吾妻橋(812m);曳舟(872m);東向島(1410m);浅草(1449m);小村井(1548m);錦糸町(1860m);田原町(1907m);東あずま(1990m),東武鉄道 伊勢崎線;京成電鉄 押上線;東京地下鉄 11号線半蔵門線;東京都 1号線浅草線;東武鉄道 亀戸線;首都圏新都市鉄道 常磐新線;東京地下鉄 3号線銀座線;東日本旅客鉄道 総武線
406040,葛飾野,葛飾区,35.755661,139.845901,お花茶屋,1047,京成電鉄 本線,算出,お花茶屋(1047m);亀有(1219m);青砥(1436m);堀切菖蒲園(1881m);京成高砂(1941m);京成立石(1953m),京成電鉄 本線;東日本旅客鉄道 常磐線;京成電鉄 押上線;京成電鉄 金町線;北総鉄道 北総線;京成電鉄 成田空港線
406050,南葛飾,葛飾区,35.744709,139.848358,京成立石,725,京成電鉄 押上線,算出,京成立石(725m);青砥(726m);お花茶屋(830m);京成高砂(1782m);四ツ木(1902m);堀切菖蒲園(1907m),京成電鉄 押上線;京成電鉄 本線;京成電鉄 金町線;北総鉄道 北総線;京成電鉄 成田空港線
406070,日本橋,墨田区,35.71946,139.824661,曳舟,567,京成電鉄 押上線;東武鉄道 伊勢崎線;東武鉄道 亀戸線,算出,曳舟(567m);東向島(726m);八広(921m);小村井(1051m);東あずま(1482m);押上(1529m);四ツ木(1634m);鐘ヶ淵(1637m);とうきょうスカイツリー(1703m),京成電鉄 押上線;東武鉄道 伊勢崎線;東武鉄道 亀戸線;東京地下鉄 11号線半蔵門線;東京都 1号線浅草線
406210,深川,江東区,35.671654,139.816193,東陽町,266,東京地下鉄 5号線東西線,算出,東陽町(266m);木場(858m);潮見(1425m);南砂町(1446m);門前仲町(1855m);住吉(1905m);清澄白河(1957m),東京地下鉄 5号線東西線;東日本旅客鉄道 京葉線;東京都 12号線大江戸線;東京地下鉄 11号線半蔵門線;東京都 10号線新宿線
406220,東,江東区,35.674,139.836365,南砂町,751,東京地下鉄 5号線東西線,算出,南砂町(751m);東陽町(1758m);大島(1762m);西大島(1933m),東京地下鉄 5号線東西線;東京都 10号線新宿線
406230,城東,江東区,35.693451,139.828659,亀戸,485,東日本旅客鉄道 総武線;東武鉄道 亀戸線,算出,亀戸(485m);西大島(504m);大島(660m);亀戸水神(839m);住吉(1274m);錦糸町(1321m);東あずま(1571m);東大島(1728m);小村井(1878m);平井(1926m),東日本旅客鉄道 総武線;東武鉄道 亀戸線;東京都 10号線新宿線;東京地下鉄 11号線半蔵門線
406240,小松川,江戸川区,35.703037,139.851349,平井,884,東日本旅客鉄道 総武線,算出,平井(884m);東大島(1510m);新小岩(1640m);亀戸水神(1658m);東あずま(1848m),東日本旅客鉄道 総武線;東京都 10号線新宿線;東武鉄道 亀戸線
406250,江戸川,江戸川区,35.70845,139.865631,新小岩,1175,東日本旅客鉄道 総武線,算出,新小岩(1175m),東日本旅客鉄道 総武線
406260,小岩,江戸川区,35.721748,139.869446,新小岩,1190,東日本旅客鉄道 総武線,算出,新小岩(1190m);小岩(1707m),東日本旅客鉄道 総武線
406270,葛西南,江戸川区,35.653336,139.87059,葛西,1155,東京地下鉄 5号線東西線,算出,葛西(1155m);葛西臨海公園(1310m);西葛西(1611m),東京地下鉄 5号線東西線;東日本旅客鉄道 京葉線
406280,篠崎,江戸川区,35.700775,139.91629,篠崎,1268,東京都 10号線新宿線,算出,篠崎(1268m);妙典(1309m);瑞江(1860m);行徳(2000m),東京都 10号線新宿線;東京地下鉄 5号線東西線
406290,紅葉川,江戸川区,35.652504,139.858902,葛西臨海公園,956,東日本旅客鉄道 京葉線,算出,葛西臨海公園(956m);西葛西(1344m);葛西(1731m),東日本旅客鉄道 京葉線;東京地下鉄 5号線東西線
406410,大江戸,江東区,35.679676,139.818085,住吉,1034,東京地下鉄 11号線半蔵門線;東京都 10号線新宿線,算出,住吉(1034m);東陽町(1122m);西大島(1306m);菊川(1454m);木場(1516m);清澄白河(1736m);南砂町(1755m);大島(1851m);錦糸町(1973m),東京地下鉄 11号線半蔵門線;東京都 10号線新宿線;東京地下鉄 5号線東西線;東京都 12号線大江戸線;東日本旅客鉄道 総武線
406420,葛飾総合,葛飾区,35.777786,139.864914,金町,1096,京成電鉄 金町線;東日本旅客鉄道 常磐線,算出,金町(1096m),京成電鉄 金町線;東日本旅客鉄道 常磐線
406620,葛飾商業,葛飾区,35.757751,139.864655,京成高砂,785,京成電鉄 金町線;京成電鉄 本線;北総鉄道 北総線;京成電鉄 成田空港線,算出,京成高砂(785m);柴又(970m);金町(1351m);青砥(1522m);新柴又(1542m);亀有(1826m),京成電鉄 金町線;京成電鉄 本線;北総鉄道 北総線;京成電鉄 成田空港線;東日本旅客鉄道 常磐線;京成電鉄 押上線
